Resraurant_id,meals,rest_adress,rest_coord,rub_max,rub_min
id_12517,no_info,"Leytonstone Station Church Lane, London E11 1HE England","['51.5682599', '0.0085202']",no_info,no_info
id_42,no_info,"Szczepanski Square 2 Old Town, Krakow 31-011 Poland","['50.0633575', '19.9350691']",1033.0,210.0
id_4937,no_info,"Wanstead 79 Nightingale Lane, London E11 2EY England","['51.5822327', '0.0280835']",1739.0,1125.0
id_4562,no_info,"73 Upper Street 73 Upper Street, London N1 0NY England","['51.5362477', '-0.1038483']",1023.0,307.0
id_654,no_info,"Blaagaardsgade 1 Kld, Copenhagen 2200 Denmark","['55.6878842', '12.5601229']",1316.0,439.0
id_2235,no_info,"Albany Street Osnaburgh Street, London NW1 3UP England","['51.5240094', '-0.1434372']",3069.0,512.0
id_4815,no_info,"Corso Sempione 42, 20154 Milan Italy","['45.4818573', '9.1650984']",no_info,no_info
id_7875,no_info,"28 rue de la Pepiniere, 75008 Paris France","['48.8750413', '2.3205089']",no_info,no_info
id_257,no_info,"Calle de Ponzano 6, 28010 Madrid Spain","['40.4371984', '-3.6990749']",5263.0,2193.0
id_4968,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_604,no_info,"28 Akamados Thiseio, Athens 118 51 Greece","['37.9742123', '23.7172261']",1316.0,877.0
id_13895,"['Breakfast', 'Lunch', 'Dinner']","214 rue de Courcelles, 75017 Paris France","['48.8872416', '2.2953393']",no_info,no_info
id_4323,"['Dinner', 'Lunch', 'Late Night']","17 Princess Road, London NW1 8JR England","['51.5389718', '-0.1524102']",no_info,no_info
id_684,no_info,"Buttermelcherstr. 2A, 80469 Munich, Bavaria Germany","['48.1328729', '11.5767172']",2193.0,439.0
id_776,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_3609,"['Lunch', 'Dinner']","Calle de San Vicente Ferrer 21, 28004 Madrid Spain","['40.4255463', '-3.7029993']",no_info,no_info
id_8899,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_3841,"['Breakfast', 'Lunch', 'Dinner']","Carrer de Mila I Fontanals, 72, 08012 Barcelona Spain","['41.4025889', '2.1610452']",no_info,no_info
id_848,"['Lunch', 'Dinner', 'Late Night']","Rua dos Bacalhoeiros 2 C, Lisbon 1100-069 Portugal","['38.7089436', '-9.1320849']",no_info,no_info
id_1157,"['Lunch', 'Dinner', 'Late Night']","Calle Echegaray 3, 28014 Madrid Spain","['40.4161646', '-3.6995605']",no_info,no_info
id_3265,"['Lunch', 'Dinner']","Paseo Bonanova, 4, 08022 Barcelona Spain","['41.4065948', '2.1328066']",no_info,no_info
id_7113,"['Lunch', 'Dinner']","102 rue du Chateau, 75014 Paris France","['48.8357648', '2.3191884']",no_info,no_info
id_5281,['Dinner'],"Proskauer Str. 1, 10247 Berlin Germany","['52.5156429', '13.4603646']",no_info,no_info
id_1534,"['Lunch', 'Dinner']","Parvis Saint-Gilles 24, Brussels 1060 Belgium","['50.8308447', '4.3457578']",no_info,no_info
id_2955,no_info,"Piazza Delle Coppelle 54/56, Rome Italy","['41.90088', '12.47598']",2632.0,1754.0
id_4083,"['Lunch', 'Dinner']","7 rue du Mont Thabor, 75001 Paris France","['48.8654202', '2.3290935']",no_info,no_info
id_1691,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_432,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_1144,no_info,"Rua Duque de Palmela 20 Turim Av. Liberdade, Lisbon 1250-096 Portugal","['38.723524', '-9.1497887']",3070.0,790.0
id_3870,no_info,"Via Cairano 14, 00177 Rome Italy","['41.8902499', '12.5506839']",1754.0,439.0
id_1343,"['Lunch', 'Dinner']","Schlachthausgasse 16, Vienna 1030 Austria","['48.1953131', '16.4076063']",no_info,no_info
id_79,no_info,"Calle Pelayo 60, 28004 Madrid Spain","['40.4241058', '-3.6973804']",16.0,6.0
id_4968,no_info,"Avenida Emperatriz Isabel 1 Marques de Vadillo, 28019 Madrid Spain","['40.3975918', '-3.7160782']",no_info,no_info
id_852,"['Lunch', 'Dinner', 'Brunch']","Mariahilfer Strasse 34, Vienna 1070 Austria","['48.200338', '16.3544984']",no_info,no_info
id_13441,"['Breakfast', 'Lunch', 'Dinner']","2 boulevard Saint Marcel, 75005 Paris France","['48.8400507', '2.361431']",no_info,no_info
id_5425,no_info,"Via Casale 7, 20144 Milan Italy","['45.451474', '9.170964']",no_info,no_info
id_2471,no_info,"Burggasse 13 Am Spittelberg, Vienna 1070 Austria","['48.2041239', '16.3553943']",2018.0,790.0
id_1545,"['Lunch', 'Dinner']","Calle Goya 107, 28009 Madrid Spain","['40.4250877', '-3.6730592']",no_info,no_info
id_919,"['Lunch', 'Dinner', 'Drinks']","Maurer Lange Gasse 123, Vienna 1230 Austria","['48.148604', '16.2595023']",no_info,no_info
id_1064,"['Lunch', 'Dinner']","260 allee des Cypres, 69760 Limonest France","['45.8083479', '4.7776807']",no_info,no_info
id_1753,"['Lunch', 'Dinner']","15 rue Pouteau, 69001 Lyon France","['45.7713093', '4.8332756']",no_info,no_info
id_706,"['Dinner', 'Lunch']","Germaniastrasse 99, Zurich 8044 Switzerland","['47.3882559', '8.5535367']",no_info,no_info
id_1665,"['Dinner', 'Drinks']","4 The Hill Stillorgan, Dublin 7RQ2+CV Ireland","['53.2886935', '-6.1977811']",no_info,no_info
id_1402,no_info,"153 Ringvaegen, Stockholm 116 31 Sweden","['59.30879765', '18.08218845']",no_info,no_info
id_1332,['Drinks'],"waterloo Place, Edinburgh Scotland","['55.9536942', '-3.187101']",no_info,no_info
id_1990,"['Lunch', 'Dinner']","Stuttgarter Platz 13, 10627 Berlin Germany","['52.5054966', '13.3019475']",no_info,no_info
id_1142,"['Lunch', 'Dinner', 'Breakfast']","Fuhlsbuettler Str. 755, 22337 Hamburg Germany","['53.6203574', '10.0331938']",no_info,no_info
id_167,no_info,"Etelaeranta 18 Backdoor at Unioninkatu 19, Helsinki 00130 Finland","['60.1667976', '24.9519329']",1754.0,877.0
id_655,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_5783,"['Lunch', 'Dinner']","Calle Marcelo Usera 94, 28026 Madrid Spain","['40.3857791', '-3.7076623']",526.0,175.0
id_3597,no_info,"Falckensteinstr. 44a, 10997 Berlin Germany","['52.5002164', '13.4442933']",no_info,no_info
id_2075,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","Kungsgatan 3, Stockholm 111 43 Sweden","['59.3360615', '18.0713561']",no_info,no_info
id_3575,no_info,"22-24 Seymour Place Marylebone, London W1H 7NL England","['51.5151342', '-0.1611017']",4604.0,2558.0
id_1240,no_info,"Calle Girona 175 Girona 175, 08037 Barcelona Spain","['41.3996576', '2.1645592']",1316.0,439.0
id_1195,no_info,"Warschauer Str. 27 a, 10243 Berlin Germany","['52.5101166', '13.4510871']",702.0,175.0
id_6225,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_2721,['Dinner'],"Travessa Monte do Carmo 19 Principe Real, Lisbon 1200-276 Portugal","['38.71669', '-9.1505135']",no_info,no_info
id_3259,"['Dinner', 'Breakfast', 'Lunch', 'Late Night']","Karlova 27, Prague 110 00 Czech Republic","['50.0864415', '14.4191067']",no_info,no_info
id_7045,no_info,"Calle Felipe V 2, 28013 Madrid Spain","['40.4187037', '-3.710611']",no_info,no_info
id_10066,"['Lunch', 'Dinner']","35 rue Jean Baptiste Pigalle, 75009 Paris France","['48.8798336', '2.333917']",no_info,no_info
id_2231,no_info,"Torrent De L'olla, 123, 08012 Barcelona Spain","['41.4027893', '2.1563843']",1468.0,1101.0
id_6317,['Dinner'],"39B Barnes High Street, London SW13 9LN England","['51.4735979', '-0.2508398']",no_info,no_info
id_6862,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_389,['Dinner'],"Petkovshkovo nabrezhje 19, Ljubljana 1000 Slovenia","['46.0520454', '14.5083412']",no_info,no_info
id_5272,"['Lunch', 'Dinner']","Via del Porto Fluviale 5/C, 00154 Rome Italy","['41.8722745', '12.4793784']",2193.0,877.0
id_399,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_89,no_info,"A Krystalgade 9, Copenhagen 1172 Denmark","['55.680974', '12.574009']",1404.0,814.0
id_1830,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_971,"['Lunch', 'Drinks']","Rue Archimede 65, Brussels 1000 Belgium","['50.8450284', '4.3839945']",no_info,no_info
id_238,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_4558,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_6257,"['Lunch', 'Dinner']","Carretera Vallvidrera-planes, 110, 08017 Barcelona Spain","['41.4281647', '2.0910371']",no_info,no_info
id_2061,no_info,"Orebitska 727/3, Prague 130 00 Czech Republic","['50.0864134', '14.4463298']",1005.0,84.0
id_828,"['Lunch', 'Dinner', 'Brunch', 'Drinks']","16-20 High Road, London N22 6BX England","['51.5911724', '-0.1039125']",no_info,no_info
id_6239,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_2067,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_5460,no_info,"Via Alessandro Volta No 23, 20121 Milan Italy","['45.4817639', '9.1817792']",no_info,no_info
id_3295,no_info,"K Letisti, 934/2, Prague Czech Republic","['50.0981042', '14.292319']",no_info,no_info
id_5388,no_info,no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_1943,['Lunch'],"Sonnenstr. 4, 80331 Munich, Bavaria Germany","['48.1379681', '11.564505']",no_info,no_info
id_3111,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_3561,"['Dinner', 'Late Night']","Via Nino Oxilia 1, 20127 Milan Italy","['45.4928418', '9.2161871']",no_info,no_info
id_1630,"['Dinner', 'Lunch']","Platz der Luftbruecke 6, 12096 Berlin Germany","['52.4829526', '13.3865515']",no_info,no_info
id_5856,no_info,"Via Don Giovanni Verita' 14, 20158 Milan Italy","['45.5037276', '9.1662526']",no_info,no_info
id_743,no_info,"boulevard James-Fazy 6, Geneva 1201 Switzerland","['46.2070541', '6.1398757']",no_info,no_info
id_2918,"['Lunch', 'Dinner']","26-28 Moxon Street Marylebone Village, London W1U 4EU England","['51.5197984', '-0.1532447']",1535.0,512.0
id_2282,no_info,"Hans-Albers-Platz 5-6, 20359 Hamburg Germany","['53.5485954', '9.9606958']",no_info,no_info
id_1837,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_11027,"['Lunch', 'Dinner']","61 avenue du General Leclerc, 75014 Paris France","['48.8290538', '2.3282839']",1404.0,702.0
id_4456,"['Lunch', 'Dinner']","Via Sarnano 4, 00156 Rome Italy","['41.9390281', '12.5780224']",no_info,no_info
id_1189,"['Breakfast', 'Lunch', 'Dinner']","Belgicka, 33 Vinohrady, Prague Czech Republic","['50.0740136', '14.4355363']",no_info,no_info
id_4664,no_info,"1 St. Christophers Place Oxford Street, London W1U 1LT England","['51.5152356', '-0.1500641']",3581.0,2558.0
id_1390,"['Lunch', 'Dinner']","7 rue Tronchet, 69006 Lyon France","['45.7696278', '4.8441726']",no_info,no_info
id_7240,['Dinner'],"Avenida de Europa 11, 28023 Madrid Spain","['40.4382078', '-3.7943604']",no_info,no_info
id_2136,no_info,"8 rue Chavanne, 69001 Lyon France","['45.7651068', '4.8322464']",no_info,no_info
id_1599,"['Dinner', 'Late Night', 'Drinks']","Via Dei Marrucini 12 fuori dallo ZTL, 00185 Rome Italy","['41.8994467', '12.5145878']",no_info,no_info
id_4818,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_4503,no_info,"Piazzale Gregorio VII 17/18, 00165 Rome Italy","['41.8987732', '12.4512598']",2632.0,877.0
id_12922,"['Dinner', 'Late Night']","21 rue de Charonne, 75011 Paris France","['48.8531533', '2.3746827']",4386.0,1667.0
id_4634,no_info,"Falcon Wharf 34 Lombard Road Rafayel on the Left Bank, London SW11 3RF England","['51.4704329', '-0.1776317']",3069.0,921.0
id_3064,['Dinner'],"Calle Ferraz 20, 28008 Madrid Spain","['40.4247857', '-3.715758']",no_info,no_info
id_6363,"['Dinner', 'Lunch']","20 rue Lepic, 75018 Paris France","['48.8849057', '2.3340232']",no_info,no_info
id_581,"['Dinner', 'Lunch', 'Drinks']","2 Rue Leon Hengen Cetntre National Sportif Et Culturel d'Coque, Luxembourg City 1745 Luxembourg","['49.6233849', '6.154117']",1579.0,790.0
id_12146,['Dinner'],"357 Brockley Road, London SE4 2AG England","['51.4560351', '-0.0361324']",no_info,no_info
id_1478,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","Neue Promenade 6 Hackescher Markt, 10178 Berlin Germany","['52.5228714', '13.4015651']",no_info,no_info
id_2398,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_11020,"['Dinner', 'Lunch']","78 rue Mazarine, 75006 Paris France","['48.8540003', '2.3381548']",no_info,no_info
id_999,"['Dinner', 'Late Night']","Maybachufer 14, 12047 Berlin Germany","['52.49413', '13.42555']",no_info,no_info
id_1225,"['Lunch', 'Dinner']","Rua da Bica Duarte Belo 62, Lisbon 1200-057 Portugal","['38.7105303', '-9.1458482']",no_info,no_info
id_797,no_info,"ul. Karmelicka 43, Krakow 31-128 Poland","['50.0677083', '19.9285947']",no_info,no_info
id_7323,"['Lunch', 'Brunch']","177 avenue Gambetta, 75020 Paris France","['48.8713305', '2.4037765']",no_info,no_info
id_2852,"['Lunch', 'Dinner']","29 rue de Charenton 75012, 75012 Paris France","['48.8522386', '2.3714258']",no_info,no_info
id_8655,"['Lunch', 'Dinner']","141 rue du Chateau, 75014 Paris France","['48.8346045', '2.3216141']",3070.0,1842.0
id_5195,no_info,"Largo Cesidio da Fossa 38 Acilia, 00126 Rome Italy","['41.7820688', '12.3519292']",no_info,no_info
id_10392,"['Lunch', 'Dinner']","17 Winchester Road, London E4 9LH England","['51.6068844', '-0.0011848']",no_info,no_info
id_564,no_info,"Neubaugasse 84, Vienna 1070 Austria","['48.2058539', '16.3494251']",1754.0,351.0
id_48,"['Lunch', 'Dinner', 'Late Night']","Rue Jules Van Praet 36, Brussels 1000 Belgium","['50.8481169', '4.3479623']",no_info,no_info
id_5538,no_info,"248 rue de Rivoli 75001, 75001 Paris France","['48.8662578', '2.3250475']",1754.0,877.0
id_4871,no_info,"68 Ronda Sant Pau St, 08015 Barcelona Spain","['41.3782059', '2.1640354']",no_info,no_info
id_831,['Dinner'],"75 Lugnets Alle, Stockholm 120 67 Sweden","['59.3061316', '18.1070872']",no_info,no_info
id_11874,no_info,"25 rue de Trevise, 75009 Paris France","['48.8742496', '2.3452763']",no_info,no_info
id_3441,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_4082,no_info,"Via di Torre Argentina 78, 00186 Rome Italy","['41.8972672', '12.4763379']",4386.0,877.0
id_5438,['Dinner'],"Avinguda Diagonal 661, 08028 Barcelona Spain","['41.3830227', '2.1095883']",no_info,no_info
id_10075,"['Lunch', 'Dinner']","53 - 54 Tottenham Court Road, London W1T 2EQ England","['51.5194924', '-0.1334601']",no_info,no_info
id_294,no_info,"66 Chandos Place, London WC2N 4HG England","['51.5103252', '-0.1246037']",1535.0,716.0
id_201,no_info,"ul. Sw. Tomasza 6, Krakow 31-014 Poland","['50.0639182', '19.9366606']",1836.0,734.0
id_5236,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks']","78 rue d Assas, 75006 Paris France","['48.8447027', '2.3323672']",1468.0,881.0
id_6319,no_info,"Am Kupfergraben 4a, 10117 Berlin Germany","['52.5206508', '13.3947966']",no_info,no_info
id_4764,"['Breakfast', 'Lunch']","C/ Travesera de Dalt, 85, 08024 Barcelona Spain","['56.06574185', '60.9751473']",no_info,no_info
id_9947,['Dinner'],"40 The Broadway Mill Hill, London NW7 3LH England","['51.614604', '-0.2469336']",no_info,no_info
id_2684,"['Lunch', 'Dinner', 'Late Night']","18 rue Lauriston, 75116 Paris France","['48.8716174', '2.2922998']",no_info,no_info
id_802,no_info,"Via Della Renella, 88/89/90, 00166 Rome Italy","['41.890457', '12.4714937']",2937.0,1101.0
id_6765,"['Lunch', 'Dinner']","57 rue Caulaincourt, 75018 Paris France","['48.8897344', '2.3346429']",no_info,no_info
id_1796,"['Lunch', 'Dinner', 'Drinks']","Via Marco Formentini 5 Brera, 20121 Milan Italy","['45.4717858', '9.1858786']",2632.0,877.0
id_6568,['Lunch'],"Calle Industria, 164, 08025 Barcelona Spain","['41.4099079', '2.1750745']",no_info,no_info
id_6290,"['Breakfast', 'Lunch', 'Dinner', 'Drinks']","Plaza de Santa Cristina 2, 28011 Madrid Spain","['40.4140795', '-3.7271069']",no_info,no_info
id_8757,"['Dinner', 'Late Night']","167 quai de Valmy, 75010 Paris France","['48.8791951', '2.36653']",3948.0,1754.0
id_725,no_info,"Tomasikova 33, Bratislava Slovakia","['48.1645446', '17.1511353']",no_info,no_info
id_15,no_info,"Augustinergasse 25, Zurich 8001 Switzerland","['47.3721976', '8.5388206']",4269.0,791.0
id_2795,"['Breakfast', 'Lunch', 'Dinner']","Boulevard Auguste Reyers 153, Brussels 1030 Belgium","['50.8486772', '4.4019938']",no_info,no_info
id_12673,"['Lunch', 'Dinner']","63 Dean Street, London W1D 4QG England","['51.5131152', '-0.1322678']",no_info,no_info
id_885,no_info,"Nybrog. 12, Stockholm Sweden","['59.33446', '18.0773342']",1836.0,1468.0
id_1184,['Drinks'],"Kiafas 8, Athens 106 78 Greece","['37.9834962', '23.7332197']",no_info,no_info
id_2922,"['Breakfast', 'Lunch', 'Dinner']","Rua Dom Afonso Henriques, 90 Loja a, Lisbon 2695 Portugal","['38.8202543', '-9.0983238']",no_info,no_info
id_576,no_info,"Rua de Sao Bento 318, Lisbon 1200-817 Portugal","['38.7144113', '-9.1535756']",1316.0,614.0
id_152,"['Lunch', 'Dinner', 'Late Night']","Trubarjeva cesta 60, Ljubljana 1000 Slovenia","['46.0521517', '14.5130161']",no_info,no_info
id_430,no_info,"Padlych hrdinov 71, Bratislava 821 06 Slovakia","['48.1218991', '17.2175312']",no_info,no_info
id_5710,"['Lunch', 'Dinner']","Calle Ayala 140, 28006 Madrid Spain","['40.4271001', '-3.6722609']",877.0,439.0
id_1934,no_info,"47 - 48 St John's Square Clerkenwell, London EC1V 4JJ England","['51.5231389', '-0.10366']",4092.0,1535.0
id_1036,"['Dinner', 'Lunch']","Tower of Christiansborg Palace, Copenhagen Denmark","['55.6767567', '12.5833968']",no_info,no_info
id_1499,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_876,['Dinner'],"Friedensallee 245, 22763 Hamburg Germany","['53.5578098', '9.9142927']",no_info,no_info
id_1058,['Dinner'],"St Patricks Road Clondlakin, Dublin Ireland","['53.3286207', '-6.4003688']",no_info,no_info
id_7716,"['Lunch', 'Dinner']","268 rue du Faubourg Saint Antoine, 75012 Paris France","['48.848683', '2.3929155']",no_info,no_info
id_24,"['Lunch', 'Dinner', 'Drinks']","Buchfeldgasse 10 Ecke Schmidgasse, Vienna 1080 Austria","['48.2108032', '16.3533055']",no_info,no_info
id_1855,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_13922,no_info,"26 rue de Menilmontant, 75020 Paris France","['48.8675233', '2.3854968']",no_info,no_info
id_2444,"['Lunch', 'Dinner']","Quellweg 23, 13629 Berlin Germany","['52.5371', '13.26829']",no_info,no_info
id_457,"['Breakfast', 'Lunch', 'Brunch']","41 Morningside Road, Edinburgh EH10 4DR Scotland","['55.9322783', '-3.209866']",no_info,no_info
id_4183,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","16 rue Vieille du Temple, 75004 Paris France","['48.8567237', '2.3570245']",no_info,no_info
id_13279,"['Dinner', 'Lunch', 'Drinks']","10 rue du Marche Saint Honore, 75001 Paris France","['48.8662049', '2.3314492']",no_info,no_info
id_7790,no_info,"9 rue Monsieur le Prince, 75006 Paris France","['48.851469', '2.3393036']",2632.0,1316.0
id_15485,no_info,"22 Golders Green Road, London NW11 8LL England","['51.5722822', '-0.1969955']",no_info,no_info
id_3745,"['Lunch', 'Dinner']","46 rue de Cronstadt, 75015 Paris France","['48.8330986', '2.3006906']",no_info,no_info
id_1411,"['Dinner', 'Lunch']","Chaussee de Haecht 135, Schaerbeek, Brussels 1030 Belgium","['50.8587785', '4.3702574']",no_info,no_info
id_1722,['Dinner'],"Stefansgade 33, Copenhagen 2200 Denmark","['55.6949573', '12.5434938']",no_info,no_info
id_3617,"['Dinner', 'Breakfast']","Calle Gran Via 59 4 Centro, 28013 Madrid Spain","['40.4220172', '-3.7090772']",no_info,no_info
id_13358,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_1956,no_info,"K Novemu dvoru 124/54 Club Hotel Daliborka, Prague 142 00 Czech Republic","['50.0243011', '14.4471175']",no_info,no_info
id_4368,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Late Night']","5 Place de la Sorbonne, 75005 Paris France","['48.8484752', '2.3421378']",no_info,no_info
id_7695,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_2057,"['Dinner', 'Lunch']","Szilagyi Erzsebet Fasor 77., Budapest 1026 Hungary","['47.5116836', '19.0067062']",no_info,no_info
id_1280,['Dinner'],"Hajnoczy Jozsef utca 21, Budapest 1122 Hungary","['47.50575', '19.022317']",no_info,no_info
