ID_TA,meals,rest_coord,rub_max,rub_min
d797737,,"[47.3645394, 8.5474443]",10771.0,2711.0
d2226584,,"[41.9377861, 12.4704723]",3004.0,1172.0
d1097475,,"[45.4752045, 9.1857067]",1612.0,879.0
d7967318,"['Lunch', 'Dinner']","[45.5120769, 9.2264046]",,
d5504724,,"[41.9006674, 12.4974436]",7327.0,733.0
d4052905,,"[51.5119534, 0.118513]",3060.0,1530.0
d5442784,"['Lunch', 'Breakfast', 'Brunch']","[55.9460106, 3.2199429]",,
d13094972,,"[48.8637738, 2.3556081]",,
d13174390,,,,
d4770241,"['Breakfast', 'Lunch', 'Dinner']","[48.1486728, 17.1103777]",,
d12681857,"['Lunch', 'Dinner']","[48.8724094, 2.3251739]",,
d4942642,"['Lunch', 'Breakfast', 'Dinner']","[48.8734552, 2.3704036]",,
d2524119,"['Breakfast', 'Lunch', 'Brunch']","[51.4825848, 0.1233028]",,
d7241440,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks', 'Late Night']","[40.4162424, 3.7017361]",3503.0,525.0
d8797372,,"[52.2498017, 21.0125855]",1892.0,363.0
d11754798,"['Drinks', 'Lunch', 'Dinner']","[40.4132679, 3.6965778]",2627.0,1051.0
d12867794,['Dinner'],"[53.5807313, 9.7919943]",1489.0,350.0
d1496204,,"[59.3417881, 18.0769789]",3664.0,1465.0
d4085056,['Lunch'],"[41.85578255, 12.4765759]",,
d2321047,,"[41.8892738, 12.5345085]",2627.0,876.0
d3612769,"['Lunch', 'Brunch', 'Drinks']","[48.8598746, 2.3497635]",876.0,263.0
d8118086,,,,
d7994738,['Dinner'],"[51.5381384, 0.1027524]",,
d697526,['Late Night'],"[40.4084654, 3.693189]",,
d779921,,,,
d10226097,,,,
d4600226,"['Breakfast', 'Lunch', 'Dinner']","[40.4403981, 3.6949632]",,
d4476199,,"[60.1458949, 24.98692905]",2189.0,876.0
d5867903,,"[41.408427, 2.1894595]",,
d10619071,,,,
d680500,"['Lunch', 'Dinner', 'Late Night']","[51.5114303, 0.131596]",,
d12111665,['Breakfast'],"[48.1517553, 17.1208903]",,
d12949592,,"[59.3165458, 18.0082769]",,
d10064175,"['Lunch', 'Dinner', 'Late Night']","[38.7070745, 9.1459173]",,
d9714837,,,,
d6403079,"['Breakfast', 'Lunch']","[51.524329, 0.1847285]",,
d5058767,['Lunch'],"[48.8446504, 2.2843596]",,
d13087286,,"[41.1555817, 8.6203746]",876.0,438.0
d1341738,"['Dinner', 'Late Night']","[52.4873451, 13.3520295]",,
d11999809,,"[52.53524, 13.35774]",,
d12556149,"['Lunch', 'Dinner', 'Drinks']","[48.2318506, 16.4128713]",1319.0,220.0
d4093614,,"[55.679743, 12.57614]",3533.0,589.0
d11995686,,"[50.8544827, 4.3873859]",,
d3671977,,,,
d12710453,,,,
d11998026,"['Lunch', 'Dinner']","[41.9291965, 12.4861641]",,
d694885,,,,
d4068550,['Dinner'],"[46.045508, 14.50911]",,
d13206789,,"[50.8447277, 4.3816991]",3503.0,1314.0
d10336129,"['Lunch', 'Breakfast', 'Dinner', 'Drinks']","[48.8757452, 2.3081936]",,
d13284434,"['Lunch', 'Dinner']","[48.880389, 2.3031045]",,
d10498197,"['Lunch', 'Dinner']","[47.5021246, 19.0704816]",,
d807906,"['Lunch', 'Dinner', 'Late Night']","[48.8693661, 2.3552984]",2189.0,1751.0
d2470800,"['Lunch', 'Dinner', 'Late Night']","[41.3807852, 2.1500591]",1832.0,879.0
d12441400,"['Lunch', 'Dinner', 'Drinks']","[41.4033445, 2.1340915]",1751.0,1314.0
d11721387,"['Dinner', 'Lunch']","[51.4746706, 0.0252932]",,
d8734791,"['Dinner', 'Lunch']","[52.366773, 4.8699903]",,
d2328380,['Dinner'],"[59.9376411, 10.7560714]",,
d2424319,,"[52.52924, 13.39512]",,
d8401717,"['Lunch', 'Dinner']","[51.4495994, 6.164]",,
d2722599,,,,
d9562461,,"[40.5040451, 3.7038993]",,
d7949523,,,,
d10520643,,"[38.7079107, 9.141838]",,
d12068247,,,,
d7214349,"['Lunch', 'Dinner', 'Drinks']","[41.9838638, 12.12885365]",,
d2697097,"['Late Night', 'Drinks']","[45.4503488, 9.1938846]",,
d3691545,,"[45.4480317, 9.1977731]",5254.0,1138.0
d5979704,"['Breakfast', 'Lunch', 'Dinner']","[38.715763, 9.1463043]",,
d3193915,,"[38.7162802, 9.1617071]",,
d10677156,"['Lunch', 'Dinner']","[51.5657191, 0.17202075]",,
d13139218,,"[38.7117466, 9.1295228]",,
d8124300,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[46.0495376, 14.5066979]",,
d795702,,"[41.8863144, 12.4725551]",2627.0,1751.0
d13001826,"['Lunch', 'Dinner']","[37.9673752, 23.705919]",,
d793183,"['Lunch', 'Dinner', 'Late Night']","[51.5011962, 0.1624277]",,
d3316640,"['Dinner', 'Lunch']","[48.8612915, 2.3423152]",,
d733450,"['Lunch', 'Dinner']","[51.4933974, 0.2370398]",5100.0,2040.0
d10242690,,"[41.8870495, 12.4719821]",1401.0,263.0
d2085183,"['Lunch', 'Dinner', 'Late Night']","[48.1446416, 17.1066539]",1465.0,220.0
d13198202,"['Lunch', 'Dinner', 'Drinks', 'Breakfast', 'Brunch']","[45.4520702, 9.2496641]",,
d5532050,,"[52.48967, 13.3912601]",1026.0,513.0
d12181566,,,,
d6946964,"['Lunch', 'Dinner']","[41.1481163, 8.6435323]",,
d7243246,,,,
d4014123,,,,
d10735345,,,,
d8661176,,,,
d8293300,,"[59.9136507, 10.7336757]",,
d3873744,"['Lunch', 'Dinner']","[41.8646103, 12.464574]",,
d5322631,"['Lunch', 'Dinner']","[51.5140655, 0.0954898]",,
d12667708,,"[47.5143848, 19.0509095]",613.0,175.0
d719805,"['Lunch', 'Dinner']","[48.8263269, 2.358704]",,
d734267,,"[51.5109557, 0.1448752]",3151.0,3151.0
d11903856,"['Dinner', 'Lunch']","[48.2349692, 16.381485]",,
d3849968,['Dinner'],"[53.4695751, 9.8547261]",,
d8660001,"['Lunch', 'Drinks']","[48.8792243, 2.287348]",1314.0,525.0
d4844610,"['Lunch', 'Dinner']","[49.6117807, 6.1116395]",,
d4185485,['Dinner'],"[51.3864389, 0.210324]",,
d12999507,,"[38.7266677, 9.1362194]",,
d11909263,,,,
d6519298,,,,
d8319709,,"[48.1795625, 16.3741705]",,
d8261215,['Dinner'],"[48.8536146, 2.3932309]",,
d9741389,,"[41.1480525, 8.622642]",1751.0,613.0
d12254437,,,,
d12572658,"['Breakfast', 'Lunch', 'Dinner']","[41.3998918, 2.1533961]",2189.0,438.0
d8857488,"['Lunch', 'Dinner']","[40.4103152, 3.7071182]",,
d1096951,"['Late Night', 'Drinks']","[38.7134511, 9.14538385]",2858.0,2271.0
d1347837,"['Dinner', 'Lunch']","[53.5682321, 9.9812344]",,
d2188472,['Drinks'],"[51.5140296, 0.1330144]",2345.0,733.0
d12488103,"['Breakfast', 'Brunch', 'Lunch', 'Dinner']","[40.4467515, 3.6710981]",,
d4023512,"['Lunch', 'Dinner', 'Late Night']","[41.9076568, 12.4995935]",,
d5264177,,"[48.8560783, 2.3670187]",2627.0,1226.0
d4946996,,"[45.47869295, 9.15249795]",,
d1388962,"['Lunch', 'Dinner', 'Late Night']","[51.493382, 0.1410556]",,
d4814839,"['Late Night', 'Drinks', 'Breakfast', 'Lunch', 'Brunch']","[41.386761, 2.1824014]",1314.0,175.0
d10072291,['Dinner'],"[55.6720134, 12.5499507]",,
d696038,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","[47.499629, 19.0479439]",2189.0,876.0
d12598141,,"[37.9859661, 23.7337413]",,
d1877226,"['Lunch', 'Dinner', 'Late Night']","[48.8530654, 2.3422012]",,
d3912269,,"[51.4674973, 0.1504081]",,
d10070252,,,,
d5822584,,"[52.4691357, 13.4347713]",2189.0,438.0
d11914515,,,,
d3393987,"['Breakfast', 'Lunch', 'Dinner']","[38.7116099, 9.1364095]",,
d1953294,"['Lunch', 'Dinner', 'Late Night']","[41.8653284, 12.4746947]",3065.0,1751.0
d6703191,,,,
d1074698,,"[48.8719631, 2.3457902]",,
d12336001,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[41.1497931, 8.6167375]",,
d8729508,,,,
d10385156,"['Lunch', 'Dinner']","[45.4948255, 9.1871574]",,
d2011853,"['Lunch', 'Breakfast', 'Late Night', 'Drinks']","[48.8795376, 2.3554982]",,
d4961398,,"[51.4195102, 0.2012991]",1905.0,366.0
d4506544,"['Lunch', 'Dinner']","[50.8361849, 4.3677459]",1314.0,438.0
d5949148,"['Lunch', 'Dinner']","[59.3419327, 18.0695967]",,
d7359557,"['Lunch', 'Dinner']","[43.66350505, 10.825713]",,
d1324782,['Breakfast'],"[45.7667964, 4.8358581]",,
d6603135,,"[41.9083331, 12.4526983]",701.0,438.0
d3181518,,,,
d715001,['Dinner'],"[48.8685989, 2.3719065]",,
d4093995,,"[40.4930826, 3.6890428]",,
d5796187,"['Breakfast', 'Lunch', 'Dinner']","[40.455486, 3.6186405]",,
d8635738,"['Drinks', 'Lunch', 'Dinner', 'Brunch']","[51.4692654, 0.0518018]",2040.0,408.0
d7621848,"['Lunch', 'Dinner']","[45.51406, 9.20804]",,
d2524764,"['Lunch', 'Dinner']","[48.094057, 11.506986]",,
d3191302,"['Lunch', 'Breakfast', 'Dinner', 'Brunch']","[51.5358963, 0.0079488]",,
d719718,,"[51.4212286, 0.2200181]",3774.0,1530.0
d5795989,,,,
d13064730,,,,
d804943,"['Lunch', 'Dinner']","[45.7652187, 4.8679826]",1465.0,1099.0
d3192609,"['Breakfast', 'Lunch', 'Dinner']","[51.4931184, 0.2344324]",,
d4436498,"['Lunch', 'Dinner', 'Late Night']","[41.379437, 2.1617168]",2627.0,876.0
d941095,"['Lunch', 'Dinner']","[48.1888028, 16.3304837]",,
d12875225,,"[50.0638839, 19.940348]",1242.0,325.0
d8339930,,"[45.4605794, 9.1830697]",,
d6278406,"['Breakfast', 'Lunch', 'Dinner']","[45.4485001, 9.1467488]",,
d5414878,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","[51.5902615, 0.0170713]",,
d811284,['Dinner'],"[53.29431905, 6.29964545]",,
d10039662,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[41.4335171, 2.1550779]",,
d5976718,,,,
d1035596,['Dinner'],"[48.8441029, 2.351731]",,
d953657,"['Dinner', 'Lunch', 'Late Night']","[51.5145292, 0.0594052]",,
d12512228,"['Dinner', 'Lunch', 'Late Night', 'Drinks']","[51.5054824, 0.1158305]",,
d3970522,,"[51.5369931, 0.1029903]",4080.0,1530.0
d6206971,,"[51.451242, 0.048896]",1734.0,408.0
d3729391,,,,
d10230660,"['Breakfast', 'Brunch']","[41.404755, 2.1560561]",,
d1489269,,"[47.370945, 18.979966]",733.0,220.0
d4182633,"['Lunch', 'Dinner']","[48.8721441, 2.32532415]",,
d10383695,"['Lunch', 'Dinner', 'Drinks']","[40.432738, 3.7003783]",1314.0,701.0
d785995,,"[48.8384762, 2.297181]",2802.0,1489.0
d1340332,"['Lunch', 'Dinner', 'Late Night']","[53.5451614, 9.9753811]",,
d2098938,"['Lunch', 'Dinner']","[40.4214169, 3.6796476]",,
d9984284,,,,
d3405673,['Dinner'],"[48.8580433, 2.2906855]",,
d10354665,"['Dinner', 'Drinks']","[47.5036469, 19.05585]",,
d7146900,,,,
d2477240,"['Lunch', 'Dinner', 'Brunch']","[50.8409739, 4.3513548]",,
d10533412,,"[45.7724563, 4.9762617]",,
d1080720,"['Lunch', 'Dinner', 'Late Night']","[41.38651995, 2.1967087]",,
d803842,,"[41.9204178, 12.5340267]",2189.0,1314.0
d780673,"['Dinner', 'Lunch']","[59.3403867, 18.0636976]",,
d1103441,['Dinner'],"[48.2250972, 16.358431]",,
d4293803,"['Lunch', 'Breakfast', 'Dinner']","[48.9351332, 2.35774]",,
d4727188,['Dinner'],"[53.5424872, 9.9684705]",,
d12423010,"['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","[41.8867462, 12.4691717]",2627.0,1314.0
d13162505,,"[41.3957152, 2.1498287]",1051.0,701.0
d3537392,"['Breakfast', 'Brunch']","[38.7225445, 9.1392292]",,
d12310002,,"[60.1678262, 24.942492]",,
d1901926,,"[45.4789613, 9.1886778]",,
d4585716,['Lunch'],"[45.7633735, 4.8529436]",,
d718909,,,,
d8841562,,"[46.0531197, 14.498602]",438.0,175.0
d8599829,"['Lunch', 'Dinner', 'Brunch']","[51.5242104, 0.081609]",4080.0,3060.0
d5872756,"['Lunch', 'Dinner']","[48.8688158, 2.324909]",,
d10760580,,"[51.6145141, 0.066309]",,
d1039687,"['Lunch', 'Dinner']","[48.1372438, 11.5284429]",,
d2096546,"['Lunch', 'Dinner', 'Late Night']","[40.4709665, 3.6851527]",,
d11888740,,,,
d6883153,"['Lunch', 'Dinner']","[38.7533558, 9.13916205]",,
d10678700,"['Lunch', 'Dinner']","[41.1614433, 8.6321947]",2189.0,613.0
d4556019,,"[47.490382, 19.0315555]",,
d4930739,,"[41.9154413, 12.4400728]",2627.0,1314.0
d7734583,,,,
d6672773,['Dinner'],"[51.5371506, 0.0612349]",,
d4211999,"['Dinner', 'Lunch']","[52.2288139, 21.0166011]",,
d6949479,,,,
d4697825,"['Lunch', 'Dinner']","[48.858399, 2.4005054]",,
d12049003,"['Lunch', 'Dinner']","[52.3826517, 4.8875159]",,
d12538734,,,,
d789885,"['Dinner', 'Lunch']","[48.8514299, 2.347708]",1612.0,1099.0
d10395526,,"[48.1903497, 16.3646013]",8757.0,2627.0
d695083,"['Lunch', 'Dinner']","[48.8597753, 2.3075708]",,
d944247,"['Breakfast', 'Lunch', 'Dinner']","[50.0776343, 14.4602384]",43787.0,4379.0
d4098079,"['Lunch', 'Dinner']","[45.7838893, 4.7863563]",,
d12995806,,"[48.2085805, 16.3761951]",1576.0,701.0
d4770088,,"[48.1469893, 17.140342]",,
d1774775,"['Lunch', 'Dinner', 'Drinks']","[51.5232321, 0.1039848]",,
d10331391,"['Lunch', 'Dinner', 'Drinks', 'Late Night']","[40.4259806, 3.7173713]",,
d4748988,"['Lunch', 'Dinner']","[52.53442, 13.4262]",,
d3735127,"['Breakfast', 'Lunch', 'Dinner']","[48.8283956, 2.3805827]",,
d2323613,"['Dinner', 'Lunch']","[41.8971217, 12.4867486]",,
d4591733,,"[37.9773598, 23.739686]",,
d6698437,"['Lunch', 'Dinner', 'Drinks']","[52.2444257, 20.9624864]",,
d3242259,"['Lunch', 'Dinner']","[41.3995707, 2.17172715]",,
d12384552,,"[53.5428985, 9.9983551]",876.0,263.0
d3179035,,"[41.3869325, 2.1236664]",,
d813285,,"[48.2070861, 16.3761838]",2102.0,350.0
d6868018,"['Lunch', 'Dinner']","[40.5032116, 3.7070705]",,
d8736586,,"[47.3705975, 8.5137603]",,
d5536153,"['Lunch', 'Dinner']","[53.3194749, 6.2897562]",1530.0,816.0
d1507237,,"[52.510509, 13.3761878]",1026.0,293.0
d1385082,"['Lunch', 'Dinner', 'Late Night']","[41.38248335, 2.176725]",2189.0,1751.0
d779071,"['Lunch', 'Dinner', 'Late Night']","[52.3736158, 4.9003457]",2277.0,525.0
d1965515,"['Lunch', 'Dinner']","[40.4118077, 3.714893]",,
d1231908,,"[45.480582, 9.191378]",5254.0,4379.0
d12081682,,"[38.70719285, 9.15477355]",1051.0,701.0
d1545969,"['Lunch', 'Dinner', 'Late Night']","[55.948131, 3.1859835]",,
d8415205,,"[40.4205123, 3.687363]",,
d2320137,"['Lunch', 'Dinner']","[45.4537826, 9.1497375]",,
d2204143,,"[45.46495505, 9.1949245]",2345.0,1392.0
d1906552,"['Lunch', 'Dinner', 'Breakfast', 'Late Night', 'Drinks']","[51.5308063, 0.1198971]",1224.0,306.0
d5122063,['Lunch'],"[51.5058386, 0.1859494]",,
d781928,,"[45.4777276, 9.1701917]",5349.0,2711.0
d4268309,"['Breakfast', 'Lunch', 'Dinner', 'Drinks']","[51.5368263, 0.0619532]",,
d10430050,"['Lunch', 'Dinner']","[40.4606596, 3.6990325]",,
d2484423,['Breakfast'],"[60.1572663, 24.9214661]",,
d7995957,,"[41.9086975, 12.4669168]",,
d10724032,"['Breakfast', 'Lunch', 'Dinner']","[41.3749299, 2.1433283]",,
d1488977,"['Lunch', 'Dinner', 'Late Night']","[41.89906, 12.46986]",,
d5869951,,"[40.39, 3.7402778]",,
d4769401,['Dinner'],"[50.0929419, 14.4213496]",,
d3773630,"['Lunch', 'Dinner', 'Late Night']","[45.4876371, 9.1593544]",,
d7730921,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks']","[51.4376683, 0.1262006]",1465.0,147.0
d12997561,"['Dinner', 'Lunch']","[41.9044369, 12.6412275]",,
d12170386,,"[48.8814438, 2.3183004]",10509.0,1314.0
d12359266,"['Lunch', 'Dinner']","[47.5179638, 19.1164887]",,
d8602690,,,,
d3266560,"['Lunch', 'Dinner']","[45.45209805, 9.1712663]",,
d798936,"['Breakfast', 'Lunch', 'Dinner']","[48.8463546, 2.2858807]",,
d1874776,"['Breakfast', 'Lunch', 'Brunch']","[51.4840433, 0.0015482]",,
d11923374,,"[41.3924592, 2.1497202]",2627.0,1751.0
d12114896,"['Breakfast', 'Lunch', 'Dinner']","[51.6108208, 0.14332725]",,
d8092415,"['Lunch', 'Dinner']","[41.8902697, 12.4689446]",,
d3385038,['Dinner'],"[59.9094833, 10.7532056]",,
d1992130,"['Lunch', 'Dinner', 'Late Night']","[51.5918202, 0.1431758]",,
d775579,,"[40.4232377, 3.7073657]",3065.0,1314.0
d4133931,,,,
d5865146,,"[41.3847838, 2.14222]",2189.0,438.0
d1417391,"['Lunch', 'Dinner']","[56.06574185, 60.9751473]",,
d7336387,"['Dinner', 'Lunch']","[50.8453281, 4.3475989]",,
d7707930,,"[41.8877607, 12.4736138]",1314.0,263.0
d1820729,"['Lunch', 'Dinner']","[48.1134094, 11.6505691]",,
d997803,,"[41.3900606, 2.1215698]",,
d3319308,['Drinks'],"[41.3856087, 2.1698211]",,
d2625256,"['Lunch', 'Dinner']","[46.2031381, 6.1534098]",,
d12089348,"['Breakfast', 'Lunch', 'Brunch', 'Drinks']","[46.0519579, 14.5136823]",1751.0,350.0
d8591395,"['Lunch', 'Dinner']","[38.7091248, 9.152123]",876.0,263.0
d743790,"['Lunch', 'Dinner']","[49.6318083, 6.1106458]",,
d12548187,,"[40.4120243, 3.710611]",2102.0,525.0
d11749991,,"[55.6793731, 12.5084365]",,
d9746677,"['Lunch', 'Dinner']","[48.8804017, 2.2857065]",,
d959162,,,,
d782237,"['Lunch', 'Dinner', 'Late Night']","[48.8513868, 2.3443607]",,
d2494164,"['Lunch', 'Dinner', 'Late Night']","[48.8645965, 2.347618]",,
d12113037,"['Lunch', 'Dinner', 'Breakfast']","[48.8525261, 2.339349]",,
d8774485,"['Breakfast', 'Lunch', 'Brunch', 'Drinks']","[59.339254, 18.0482637]",1339.0,561.0
d8362340,"['Breakfast', 'Lunch', 'Brunch']","[47.4896678, 19.0628931]",,
d2046169,['Dinner'],"[52.4115429, 13.3422291]",,
d8125299,,"[51.4111417, 0.2083785]",2040.0,510.0
d6530816,"['Lunch', 'Dinner']","[48.8623321, 2.3491148]",,
d12321528,,"[48.8866025, 2.359255]",1026.0,366.0
d4956063,"['Lunch', 'Dinner']","[45.7437927, 4.8176178]",,
d5442851,"['Lunch', 'Dinner']","[51.5497888, 0.1517082]",,
d9456227,"['Lunch', 'Dinner']","[52.5436813, 13.5448268]",1751.0,175.0
